ID;Status;RU;EN;CN
b062f497-4c40-4abf-9ce1-f40e2876f5d4-StickyNoteText;Ok;"Установка параметров вручную
Oem: nxt, msi5, nxt_cn,...";"Setting parameters manually
Oem: nxt, msi5, nxt_cn,...";"Setting parameters manually
Oem: nxt, msi5, nxt_cn,..."
aafbffc8-deec-4291-bbf3-f8dba8ac3edc-UserText;Ok;"Полное название";"Name";"Name"
d51ceedb-4d63-4572-a257-3fe1ae517386-UserText;Ok;"Oem";"Oem";"Oem"
d88455e6-1da4-401e-9934-efe1f77fcb5c-UserText;Ok;"Остановка эмулятора";"Stop the emulator";"Stop the emulator"
b6f88780-366d-463b-a5b4-6451056e37b8-UserText;Ok;"Восстановление системного диска";"Lock system";"Lock system"
11746c72-2122-4026-9c9d-d456e0cffea9-AlertText;Ok;"Ошибка";"Error";"Error"
049963e3-2a55-4e42-a9e1-6ccf497f9a3a-StickyNoteText;Ok;"Автоматическая установка параметров.
Для выбора эмулятора нажать 
""Входные настройки"" (значок на панели внизу) и ""Демонстрация"" (значок лупы).
Для запуска нажать ""С начала"" (наверху)";"Automatic parameter setting. 
To select an emulator, click ""Input Settings"" (the icon in the panel at the bottom) and ""Demonstration"" (the magnifying glass icon).
To start, click ""Restart"" (at the top).";"Automatic parameter setting. 
To select an emulator, click ""Input Settings"" (the icon in the panel at the bottom) and ""Demonstration"" (the magnifying glass icon).
To start, click ""Restart"" (at the top)."
4495dd65-40cd-4ed8-ae22-eb72ea99d700-StickyNoteText;Ok;"API";"API";"API"
8c993517-e90c-446c-910b-2ba7481a398e-UserText;Ok;"Oem";"Oem";"Oem"
ebcc3e59-88e6-4734-9395-803dbb2d9f85-UserText;Ok;"Oem";"Oem";"Oem"
a887753e-7c42-446c-8454-500faad0ee64-AlertText;Ok;"Успешно";"Successfully";"Successfully"
b3d4bb80-0ecb-49f0-9a28-41049ed66ff1-UserText;Ok;"Magisk";"Magisk";"Magisk"
4303b98b-c9b8-4abf-a7ec-b87eab84c422-UserText;Ok;"Создание эмулятора";"Create the emulator";"Create the emulator"
0967e799-63cf-46cc-bcc2-2630ffbf8f7b-UserText;Ok;"Создание эмулятора с параметрами";"Create the emulator with settings";"Create the emulator with settings"
c6d3893b-db18-4eaf-8cfb-a7e360dc3ce0-UserText;Ok;"Удаление эмулятора";"Delete the emulator";"Delete the emulator"
8cbd1359-01f1-40e1-8ad8-2ecd4a118434-UserText;Ok;"Запуск менеджера";"Run the manager";"Run the manager"
6d04ae04-be31-4c22-b541-0e2ad084fe7a-UserText;Ok;"Закрытие менеджера";"Close the manager";"Close the manager"
57da00ed-dc34-4168-ab4e-fc9469b4f9a3-UserText;Ok;"Разблокировка системного диска";"Unlock system";"Unlock system"
837c594c-8d1a-4ab3-a639-9e227eddd077-UserText;Ok;"Восстановление системного диска";"Lock system";"Lock system"
ff2810cf-ab2a-45e1-9520-d09bc68b27b1-UserText;Ok;"Патч системы для установки Magisk";"Patch";"Patch"
8a78febb-4836-4652-8324-2ff594e351e8-UserText;Ok;"Установка Magisk";"Install Magisk";"Install Magisk"
7a69a08d-8683-4ae4-9d0f-fa87a0b46647-UserText;Ok;"Запись Magisk в системный раздел";"Flash Magisk to system";"Flash Magisk to system"
f7ec3393-09f7-461e-9142-d0f9cc4c77bb-UserText;Ok;"Включение Zygisk";"Enable Zygisk";"Enable Zygisk"
4f9ea3c9-ea08-4b97-8e62-ee95d1334af6-UserText;Ok;"Запуск эмулятора";"Run the emulator";"Run the emulator"
fd66880f-b760-4b09-9185-781fa7bcfb99-UserText;Ok;"Подключение к эмулятору";"Connect to the emulator";"Connect to the emulator"
e6aa863d-0e06-48ec-ab89-e59352b34048-UserText;Ok;"Остановка эмулятора";"Stop the emulator";"Stop the emulator"
af4a9383-e4b1-4dde-a394-1b8964b6852f-UserText;Ok;"Oem";"Oem";"Oem"
10c16a00-1cbb-4258-a434-aff52d029e4c-UserText;Ok;"Отключение от эмулятора";"Disconnect from the emulator";"Disconnect from the emulator"
398a2869-cb6e-4171-bc73-e2d7e2b2cd84-UserText;Ok;"Адрес и порт эмулятора";"Address and port of the emulator";"Address and port of the emulator"
0ae940fd-f4f5-4d24-b78a-7c7db8ed10fb-UserText;Ok;"Остановка эмулятора";"Stop the emulator";"Stop the emulator"
30995e3c-703b-46e6-a8d6-d3ac4cc3824a-UserText;Ok;"Ожидание остановки эмулятора";"Waiting for the emulator to stop";"Waiting for the emulator to stop"
d3d646a4-ad0f-4b3f-892b-c92d66253826-UserText;Ok;"Разблокировка системного диска";"Unlock system";"Unlock system"
492e4722-3ae0-42b1-ac8b-36e6f1003db6-UserText;Ok;"Ожидание остановки эмулятора";"Waiting for the emulator to stop";"Waiting for the emulator to stop"
ad3015a9-34e1-4641-bc55-8d91429abe4e-UserText;Ok;"Преобразование полного названия во внутреннее имя";"Get the internal emulator name by its full name";"Get the internal emulator name by its full name"
396f331d-0b08-4d1a-88e4-163c625b3fb5-UserText;Ok;"Получить имя эмулятора по полному названию";"Get the internal emulator name by its full name";"Get the internal emulator name by its full name"
3221517b-e907-4d30-9423-fd2e9408610c-UserText;Ok;"Запуск эмулятора";"Run the emulator";"Run the emulator"
bb604231-6d61-4f3d-aaa7-f610d6b2176d-UserText;Ok;"Ожидание подключения к эмулятору";"Waiting for connection to the emulator";"Waiting for connection to the emulator"
31bfd4d8-8d0b-46d4-b00d-3e7a16f37fa8-UserText;Ok;"Проверка возможности установки Zygisk";"Checking the ability of installing Zygisk";"Checking the ability of installing Zygisk"
33118448-6948-413a-aa2f-b4d33fbc1537-UserText;Ok;"Включение Zygisk";"Enable Zygisk";"Enable Zygisk"
d4d4b47e-3b42-4b79-a101-a5e7b6050e08-UserText;Ok;"Остановка эмулятора";"Stop the emulator";"Stop the emulator"
82b0e5d8-c031-4779-aa27-e97e790d7dec-UserText;Ok;"Ожидание остановки эмулятора";"Waiting for the emulator to stop";"Waiting for the emulator to stop"
dae2c806-58b5-43e4-b48e-f081bb018479-UserText;Ok;"Запуск эмулятора";"Run the emulator";"Run the emulator"
ae045f1e-9d42-4153-aa61-628425960197-UserText;Ok;"Запуск эмулятора";"Run the emulator";"Run the emulator"
9a813138-c169-439e-95de-87a4bc892839-UserText;Ok;"Ожидание подключения к эмулятору";"Waiting for connection to the emulator";"Waiting for connection to the emulator"
dc3c7312-2afc-4664-af7d-18db83af7ef8-UserText;Ok;"Патч системы";"Patch";"Patch"
25368076-bd37-4b2c-82a1-50c90602be8d-UserText;Ok;"Установка Magisk";"Install Magisk";"Install Magisk"
155c0a19-6100-45be-8ea3-91fa36f0f582-UserText;Ok;"Запись Magisk в системный раздел";"Flash Magisk to system";"Flash Magisk to system"
4cd05993-671c-4bc5-a338-5885200c0517-UserText;Ok;"Остановка эмулятора";"Stop the emulator";"Stop the emulator"
7ef22cf4-6516-4bca-88fc-94e1a3b65434-UserText;Ok;"Ожидание остановки эмулятора";"Waiting for the emulator to stop";"Waiting for the emulator to stop"
41f4448a-3be7-4a63-b666-85c2dbd17be5-UserText;Ok;"Эмулятор запущен";"Is the emulator running";"Is the emulator running"
02b36548-2800-4854-a49a-f5e663f666a3-UserText;Ok;"Эмулятор готов к работе";"Is the emulator ready to work";"Is the emulator ready to work"
d2dd994f-b472-49f8-a9cf-36db21c697bc-UserText;Ok;"Ожидание загрузки эмулятора";"Waiting for the emulator to start";"Waiting for the emulator to start"
72ac1be6-290a-411c-85a2-2cb2cc292da5-UserText;Ok;"IMEI";"IMEI";"IMEI"
b645baa1-a928-4e3d-8722-109cd53a263b-UserText;Ok;"Geo";"Geo";"Geo"
e9e9d568-66a4-4a6d-b3ed-63203415c56a-UserText;Ok;"Патч системы";"Patch";"Patch"
