nth vaddr       bind type lib                                  name
-------------------------------------------------------------------
1   0x1400ada90 NONE FUNC d3d11.dll                            D3D11CreateDeviceAndSwapChain
1   0x1400ad000 NONE FUNC ADVAPI32.dll                         RegOpenKeyExA
2   0x1400ad008 NONE FUNC ADVAPI32.dll                         RegCloseKey
3   0x1400ad010 NONE FUNC ADVAPI32.dll                         RegQueryValueExA
1   0x1400ad578 NONE FUNC SHELL32.dll                          ShellExecuteW
1   0x1400adaa0 NONE FUNC dwmapi.dll                           DwmExtendFrameIntoClientArea
2   0x1400adaa8 NONE FUNC dwmapi.dll                           DwmSetWindowAttribute
1   0x1400ad290 NONE FUNC MSVCP140.dll                         ?sync@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MEAAHXZ
2   0x1400ad298 NONE FUNC MSVCP140.dll                         ?setbuf@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MEAAPEAV12@PEAD_J@Z
3   0x1400ad2a0 NONE FUNC MSVCP140.dll                         ?uflow@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MEAAHXZ
4   0x1400ad2a8 NONE FUNC MSVCP140.dll                         ?showmanyc@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MEAA_JXZ
5   0x1400ad2b0 NONE FUNC MSVCP140.dll                         ?_Unlock@?$basic_streambuf@DU?$char_traits@D@std@@@std@@UEAAXXZ
6   0x1400ad2b8 NONE FUNC MSVCP140.dll                         ?_Lock@?$basic_streambuf@DU?$char_traits@D@std@@@std@@UEAAXXZ
7   0x1400ad2c0 NONE FUNC MSVCP140.dll                         ?_Id_cnt@id@locale@std@@0HA
8   0x1400ad2c8 NONE FUNC MSVCP140.dll                         ?id@?$ctype@D@std@@2V0locale@2@A
9   0x1400ad2d0 NONE FUNC MSVCP140.dll                         ?id@?$codecvt@DDU_Mbstatet@@@std@@2V0locale@2@A
10  0x1400ad2d8 NONE FUNC MSVCP140.dll                         ?id@?$collate@D@std@@2V0locale@2@A
11  0x1400ad2e0 NONE FUNC MSVCP140.dll                         ??0_Lockit@std@@QEAA@H@Z
12  0x1400ad2e8 NONE FUNC MSVCP140.dll                         ?_Decref@facet@locale@std@@UEAAPEAV_Facet_base@3@XZ
13  0x1400ad2f0 NONE FUNC MSVCP140.dll                         ?_Incref@facet@locale@std@@UEAAXXZ
14  0x1400ad2f8 NONE FUNC MSVCP140.dll                         ?_Xregex_error@std@@YAXW4error_type@regex_constants@1@@Z
15  0x1400ad300 NONE FUNC MSVCP140.dll                         ?_Fiopen@std@@YAPEAU_iobuf@@PEBDHH@Z
16  0x1400ad308 NONE FUNC MSVCP140.dll                         ?imbue@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MEAAXAEBVlocale@2@@Z
17  0x1400ad310 NONE FUNC MSVCP140.dll                         ??1_Lockit@std@@QEAA@XZ
18  0x1400ad318 NONE FUNC MSVCP140.dll                         ?_Xbad_alloc@std@@YAXXZ
19  0x1400ad320 NONE FUNC MSVCP140.dll                         ?_Xlength_error@std@@YAXPEBD@Z
20  0x1400ad328 NONE FUNC MSVCP140.dll                         ?_Xout_of_range@std@@YAXPEBD@Z
21  0x1400ad330 NONE FUNC MSVCP140.dll                         ?uncaught_exception@std@@YA_NXZ
22  0x1400ad338 NONE FUNC MSVCP140.dll                         ?_Syserror_map@std@@YAPEBDH@Z
23  0x1400ad340 NONE FUNC MSVCP140.dll                         ?_Winerror_map@std@@YAHH@Z
24  0x1400ad348 NONE FUNC MSVCP140.dll                         _Strcoll
25  0x1400ad350 NONE FUNC MSVCP140.dll                         _Strxfrm
26  0x1400ad358 NONE FUNC MSVCP140.dll                         ??0_Locinfo@std@@QEAA@PEBD@Z
27  0x1400ad360 NONE FUNC MSVCP140.dll                         ??1_Locinfo@std@@QEAA@XZ
28  0x1400ad368 NONE FUNC MSVCP140.dll                         ?tellg@?$basic_istream@DU?$char_traits@D@std@@@std@@QEAA?AV?$fpos@U_Mbstatet@@@2@XZ
29  0x1400ad370 NONE FUNC MSVCP140.dll                         ?_Getcoll@_Locinfo@std@@QEBA?AU_Collvec@@XZ
30  0x1400ad378 NONE FUNC MSVCP140.dll                         ?c_str@?$_Yarn@D@std@@QEBAPEBDXZ
31  0x1400ad380 NONE FUNC MSVCP140.dll                         ??0facet@locale@std@@IEAA@_K@Z
32  0x1400ad388 NONE FUNC MSVCP140.dll                         ??1facet@locale@std@@MEAA@XZ
33  0x1400ad390 NONE FUNC MSVCP140.dll                         ?_Init@locale@std@@CAPEAV_Locimp@12@_N@Z
34  0x1400ad398 NONE FUNC MSVCP140.dll                         ?_Getgloballocale@locale@std@@CAPEAV_Locimp@12@XZ
