nth   paddr      vaddr       len  size section type    string
-------------------------------------------------------------
0     0x0000004d 0x0000004d  44   45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000097 0x00000097  4    6            utf8    e\eēd
2     0x0000009f 0x0000009f  4    6            utf8    e\eĔd
3     0x000000a7 0x000000a7  4    6            utf8    e\eĕd
4     0x000000af 0x000000af  4    6            utf8    e\eđd
5     0x000000e7 0x000000e7  5    6            ascii   eRich
6     0x00000200 0x00000200  5    6            ascii   .text
7     0x00000227 0x00000227  7    8            ascii   `.rdata
8     0x0000024f 0x0000024f  6    7            ascii   @.data
9     0x00000278 0x00000278  6    7            ascii   .pdata
10    0x0000029f 0x0000029f  6    7            ascii   @.rsrc
11    0x000002c7 0x000002c7  7    8            ascii   @.reloc
12    0x000004b7 0x1400010b7 5    6    .text   ascii   \$\bWH
13    0x000004e1 0x1400010e1 4    5    .text   ascii   \$0H
14    0x000005a8 0x1400011a8 4    5    .text   ascii   t$@H
15    0x000005ad 0x1400011ad 4    5    .text   ascii   qpH;
16    0x000005d8 0x1400011d8 5    6    .text   ascii   t$@H+
17    0x0000062e 0x14000122e 4    5    .text   ascii   \$HH
18    0x00000645 0x140001245 4    5    .text   ascii   D$ 3
19    0x00000720 0x140001320 14   15   .text   ascii   @USVWATAUAVAWH
20    0x000007cb 0x1400013cb 4    5    .text   ascii   D$xH
21    0x000007e2 0x1400013e2 4    5    .text   ascii   D$0\b
22    0x000007ef 0x1400013ef 4    5    .text   ascii   D$(H
23    0x000007f4 0x1400013f4 5    6    .text   ascii   T$@E3
24    0x00000804 0x140001404 4    5    .text   ascii   l$@D
25    0x00000809 0x140001409 4    5    .text   ascii   l$DL
26    0x0000086e 0x14000146e 4    6    .text   utf8    ؋\rw\n
27    0x000008d1 0x1400014d1 4    5    .text   ascii   L$HL
28    0x00000909 0x140001509 4    5    .text   ascii   l$HH
29    0x00000912 0x140001512 4    5    .text   ascii   D$XD
30    0x00000917 0x140001517 4    5    .text   ascii   l$\H
31    0x00000922 0x140001522 4    5    .text   ascii   T$HH
32    0x0000094b 0x14000154b 14   16   .text   utf8    A_A^A]A\_^[]ËE
33    0x0000095d 0x14000155d 4    5    .text   ascii   D$`H
34    0x00000981 0x140001581 4    5    .text   ascii   D$lH
35    0x0000098c 0x14000158c 4    5    .text   ascii   L$HH
36    0x000009b0 0x1400015b0 6    7    .text   ascii   @SUVWH
37    0x000009c5 0x1400015c5 4    5    .text   ascii   D$8I
38    0x00000a33 0x140001633 4    5    .text   ascii   D$ H
39    0x00000a4d 0x14000164d 4    5    .text   ascii   T$(H
40    0x00000a5a 0x14000165a 5    6    .text   ascii   |$$(}
41    0x00000a67 0x140001667 5    6    .text   ascii   9D$ }
42    0x00000a9e 0x14000169e 5    6    .text   ascii   L$8H3
43    0x00000aac 0x1400016ac 5    6    .text   ascii   H_^][
44    0x00000b83 0x140001783 7    8    .text   ascii   ATAUAVH
45    0x00000bb5 0x1400017b5 4    5    .text   ascii   L$XL
46    0x00000bba 0x1400017ba 4    5    .text   ascii   D$PD
47    0x00000bc3 0x1400017c3 4    5    .text   ascii   T$HA
48    0x00000be4 0x1400017e4 5    6    .text   ascii   HcX\bH
49    0x00000c5e 0x14000185e 4    5    .text   ascii   9H\bD
50    0x00000c70 0x140001870 4    5    .text   ascii   HcH\b
51    0x00000c77 0x140001877 4    5    .text   ascii   u$A9
52    0x00000c96 0x140001896 4    6    .text   utf8    ǉD$0
53    0x00000c9f 0x14000189f 4    6    .text   utf8    ĉD$0
54    0x00000cdc 0x1400018dc 4    5    .text   ascii   l$8H
55    0x00000ecc 0x140001acc 5    6    .text   ascii   D$49A
56    0x00000eda 0x140001ada 4    5    .text   ascii   |$xH
57    0x00000edf 0x140001adf 4    5    .text   ascii   t$pH
58    0x00000ee4 0x140001ae4 4    5    .text   ascii   l$hH
59    0x00000ee9 0x140001ae9 4    5    .text   ascii   |$`L
60    0x00000f00 0x140001b00 5    6    .text   ascii   L9d$8
61    0x00000f0d 0x140001b0d 4    5    .text   ascii   l$8M
62    0x00000f5c 0x140001b5c 4    5    .text   ascii   D$ L
63    0x00000fbe 0x140001bbe 4    5    .text   ascii   A;\a}
64    0x00000fe8 0x140001be8 4    5    .text   ascii   |$xH
65    0x00000fed 0x140001bed 4    5    .text   ascii   t$pH
66    0x00000ff2 0x140001bf2 4    5    .text   ascii   l$hH
67    0x00000ff7 0x140001bf7 4    5    .text   ascii   |$`D
68    0x0000105f 0x140001c5f 5    6    .text   ascii   HcX\bH
69    0x000010d1 0x140001cd1 4    5    .text   ascii   l$(H
70    0x000010d9 0x140001cd9 5    7    .text   utf8    ˉD$ A
71    0x000010f8 0x140001cf8 4    5    .text   ascii   u|E3
72    0x0000116c 0x140001d6c 4    5    .text   ascii   D;\br
73    0x00001187 0x140001d87 4    5    .text   ascii   l$(L
74    0x0000118c 0x140001d8c 5    7    .text   utf8    ŉT$ H
75    0x000012b4 0x140001eb4 4    5    .text   ascii   D;\br
76    0x00001308 0x140001f08 4    5    .text   ascii   D;\br
77    0x000013c4 0x140001fc4 4    5    .text   ascii   uOE3
78    0x00001444 0x140002044 4    5    .text   ascii   t!ff
79    0x00001468 0x140002068 4    5    .text   ascii   D$4I
80    0x00001476 0x140002076 5    6    .text   ascii   D$4;A
81    0x00001488 0x140002088 5    6    .text   ascii   Hcy\bH
82    0x00001504 0x140002104 4    5    .text   ascii   D$XH
83    0x00001561 0x140002161 6    7    .text   ascii   A^A]A\
84    0x00001570 0x140002170 5    6    .text   ascii   HcY\bH
85    0x00001637 0x140002237 12   13   .text   ascii   l$ WAVHc|$8I
86    0x0000165d 0x14000225d 7    8    .text   ascii   Hct$@L+
87    0x0000166a 0x14000226a 5    6    .text   ascii   |$ E3
88    0x0000173e 0x14000233e 4    5    .text   ascii   |$ H
89    0x00001748 0x140002348 4    5    .text   ascii   \$(H
90    0x0000174d 0x14000234d 6    7    .text   ascii   l$0A^_
91    0x00001765 0x140002365 5    6    .text   ascii   VWAWH
